,title,year,kind,rating,vote,runtime
339,Todd McFarlane's Spawn,1997,tv series,8.1,8294.0,30
340,For the Moment,1993,movie,6.0,943.0,120
341,Japan: Memoirs of a Secret Empire,2004,tv mini series,7.6,177.0,0
342,Africans in America: America's Journey Through Slavery,1998,tv mini series,7.5,71.0,360
343,Homicide: Life on the Street,1993,tv series,8.6,12130.0,60
344,Cause célèbre,1987,tv movie,6.9,152.0,109
345,Whisper Kill,1988,tv movie,4.9,157.0,93
346,44 Minutes: The North Hollywood Shoot-Out,2003,tv movie,6.3,5187.0,103
347,Roger & Me,1989,movie,7.5,26201.0,91
348,Royal Deceit,1994,movie,5.5,2172.0,103
350,Yu Yu Hakusho: Ghost Files,1992,tv series,8.4,12573.0,24
351,Man in a Cocked Hat,1959,movie,6.3,798.0,88
352,Abigail's Party,2006,tv movie,6.0,7.0,33
353,Don't Tell Mom the Babysitter's Dead,1991,movie,6.3,31473.0,102
354,Bagdad Cafe,1987,movie,7.4,13238.0,95
355,Indochine,1992,movie,7.1,9743.0,160
356,Hillary & Tenzing: Climbing to the Roof of World,1997,video movie,7.6,23.0,60
357,A Slipping-Down Life,1999,movie,6.1,1102.0,109
358,Sherlock,2002,tv movie,5.9,1046.0,100
359,Widows' Peak,1994,movie,6.7,1678.0,101
360,Hot War,1998,movie,5.5,337.0,93
361,Fantasy Mission Force,1983,movie,4.7,1725.0,90
362,Saber Marionette J,1996,tv series,7.4,320.0,30
363,I Can Do Bad All by Myself,2009,movie,4.6,9890.0,113
364,The Librarian: Quest for the Spear,2004,tv movie,6.3,19356.0,92
365,Halloween,1978,movie,7.7,243607.0,91
366,Star Trek: The Next Generation,1987,tv series,8.6,108089.0,44
367,Sherlock Hound,1984,tv series,7.5,1375.0,24
368,15 Minutes,2001,movie,6.1,49504.0,120
369,The Phantom,1996,movie,5.0,33285.0,100
370,End of the Century,2003,movie,8.0,3701.0,110
371,The Crawling Eye,1958,movie,5.2,3934.0,84
372,A Perfect Candidate,1996,movie,7.2,271.0,105
373,Man in the Iron Mask,2010,episode,7.2,11.0,0
374,Gloria Estefan: Don't Stop,1998,video movie,7.1,24.0,70
375,He Died with a Felafel in His Hand,2001,movie,7.1,3536.0,107
376,"Foyle's War, Series IV: Casualties of War",2007,episode,7.9,14.0,0
377,Man Ray: Prophet of the Avant Garde,1997,episode,7.9,115.0,60
378,Dr. Seuss' the Zax,2020,movie,,,0
379,The Spider Woman,1943,movie,7.1,4413.0,63
380,Churchill,2017,movie,6.1,16564.0,105
381,Care Bears: Journey to Joke-a-Lot,2004,video movie,4.2,264.0,80
382,For Love or Country,2011,video movie,,,10
383,Tokyo Drifter,1966,movie,7.2,8319.0,89
384,The Valley (Obscured by Clouds),1972,movie,6.5,1282.0,101
385,Boyz n the Hood,1991,movie,7.8,132759.0,112
386,A Single Girl,1995,movie,6.9,1701.0,90
387,Don Henley: Live Inside Job,2000,tv movie,8.2,80.0,105
388,Salem Witch Trials,2003,episode,6.5,8.0,44
389,"By Brakhage: An Anthology, Volume One",2003,video movie,,,243
390,Landmarks of Early Film,1997,video movie,7.2,23.0,118
391,Look Back in Anger,1959,movie,7.0,3722.0,98
392,Titans Season 1 Review : How Did This End Up Good?!?!,2019,episode,,,0
393,Dracula vs. Frankenstein,1971,movie,3.6,2021.0,91
394,We Know Where You Live,2001,tv movie,6.9,167.0,94
395,Spies,1928,movie,7.6,3417.0,150
396,Die Like Lovers,2022,movie,,,0
397,The Scarlet Claw,1944,movie,7.3,5042.0,74
398,Eyes Without a Face,1960,movie,7.7,29391.0,90
399,The Mouse That Roared,1959,movie,7.0,8598.0,83
400,On Cukor,2000,episode,7.7,157.0,85
401,Ruin Explorers,1995,tv mini series,6.4,240.0,30
402,Tiger Bay,1959,movie,7.5,2736.0,105
403,Marlene Dietrich: Her Own Song,2001,movie,7.9,361.0,100
404,Predator Island,2005,video movie,2.3,440.0,73
405,Omar huffs gasoline and watches Star Trek Enterprise,2020,episode,,,0
406,Bill Cosby: Himself,1983,movie,8.2,3524.0,105
407,Cry of the Cat: Part 2,1998,episode,5.5,529.0,22
